Resource ID,Service Name,Usage Quantity,Usage Unit,Region / Zone,CPU Utilization (%),Memory Utilization (%),Network Inbound Data (Bytes),Network Outbound Data (Bytes),Usage Start Date,Usage End Date,Cost per Quantity ($),Unrounded Cost ($),Rounded Cost ($),Total Cost (INR)
resource_638,Cloud Functions,853,Requests,us-central1,66.35,13.1,8.76312E+11,8.77057E+11,2022-01-01 03:00:00,2022-01-08 12:00:00,2.4055,2051.8915,2052,170316
resource_930,Cloud Scheduler,750,Requests,europe-west1,1.47,22.49,4.49599E+11,4.50131E+11,2022-01-01 03:00:00,2022-01-04 00:00:00,2.0203,1515.225,1515,125745
resource_965,Cloud Run,832,Requests,asia-east1,52.72,4.23,1.9288E+11,1.93194E+11,2022-01-01 03:00:00,2022-01-01 11:00:00,8.1202,6756.0064,6756,560748
resource_415,Dialogflow,359,Requests,asia-east1,8.89,28.34,1.27159E+11,1.27756E+11,2022-01-01 03:00:00,2022-01-23 11:00:00,2.3509,843.9731,844,70052
resource_409,Cloud Tasks,143,Requests,asia-south1,88.18,88.74,4.17314E+11,4.17794E+11,2022-01-01 03:00:00,2022-01-04 17:00:00,9.6428,1378.9204,1379,114457
resource_405,Cloud SQL,378,Hours,europe-west1,55.24,66.34,3.18365E+11,3.18849E+11,2022-01-01 04:00:00,2022-01-16 22:00:00,1.0833,409.4874,409,33947
resource_662,Cloud Monitoring,74.402,GB,us-east1,52.35,7.5,5.81962E+11,5.82187E+11,2022-01-01 04:00:00,2022-01-03 07:00:00,3.2928,244.9909056,245,20335
resource_804,Secret Manager,814,Requests,asia-south1,89.12,40.21,60156281312,60780815183,2022-01-01 04:00:00,2022-01-06 15:00:00,4.4424,3616.1136,3616,300128
resource_116,Cloud Storage,26.7868,GB,us-central1,51.5,21.4,7.69273E+11,7.69776E+11,2022-01-01 04:00:00,2022-01-02 14:00:00,4.0931,109.6410511,110,9130
resource_247,Dialogflow,27,Requests,us-east1,84.78,36.19,5.43062E+11,5.44057E+11,2022-01-01 04:00:00,2022-01-15 04:00:00,2.048,55.296,55,4565
resource_566,Cloud Tasks,496,Requests,asia-south1,72.25,86.21,8.20653E+11,8.20786E+11,2022-01-01 04:00:00,2022-01-03 22:00:00,2.6824,1330.4704,1330,110390
resource_218,Cloud Armor,799,Requests,us-west1,64.4,68.44,6.19489E+11,6.20416E+11,2022-01-01 04:00:00,2022-01-06 17:00:00,2.2937,1832.6663,1833,152139
resource_523,Cloud Scheduler,343,Requests,asia-south1,93.15,2.49,5.94607E+11,5.9533E+11,2022-01-01 04:00:00,2022-01-01 11:00:00,0.3164,108.5252,109,9047
resource_77,Cloud Spanner,44,Hours,asia-south1,31.54,94.44,2.59818E+11,2.59919E+11,2022-01-01 04:00:00,2022-01-03 00:00:00,9.8325,432.63,433,35939
resource_399,Cloud Logging,30.2709,GB,asia-south1,25.89,68.99,7.83876E+11,7.83919E+11,2022-01-01 05:00:00,2022-01-15 03:00:00,3.3022,99.96056598,100,8300
resource_450,Artifact Registry,97.8856,GB,asia-east1,83.63,22.62,1.88139E+11,1.88757E+11,2022-01-01 05:00:00,2022-01-04 00:00:00,8.7957,860.9723719,861,71463
resource_816,Cloud Memorystore,62.1115,GB,us-central1,12.94,94.52,8.98115E+11,8.98809E+11,2022-01-01 05:00:00,2022-01-12 14:00:00,0.1639,10.18007485,10,830
resource_853,Cloud Dataproc,20,Hours,us-east1,56.46,48.74,1.2397E+11,1.24098E+11,2022-01-01 05:00:00,2022-01-02 01:00:00,8.7905,175.81,176,14608
resource_62,Artifact Registry,30.5979,GB,us-west1,67.63,2.82,5.95688E+11,5.96057E+11,2022-01-01 05:00:00,2022-01-17 07:00:00,4.9312,150.8843645,151,12533
resource_865,Cloud Build,893,Requests,asia-east1,59.53,94.19,8.93688E+11,8.94324E+11,2022-01-01 06:00:00,2022-01-03 03:00:00,9.4607,8448.4051,8448,701184
resource_782,Cloud Scheduler,692,Requests,asia-east1,10.95,7.04,7.32833E+11,7.33693E+11,2022-01-01 06:00:00,2022-01-04 22:00:00,2.1065,1457.698,1458,121014
resource_752,Cloud Dataflow,182,Hours,us-central1,98.01,50.39,1.61548E+11,1.61596E+11,2022-01-01 06:00:00,2022-01-08 20:00:00,9.204,1675.128,1675,139025
resource_982,Cloud Spanner,61,Hours,asia-east1,75.6,74.2,2.50735E+11,2.50948E+11,2022-01-01 06:00:00,2022-01-03 19:00:00,9.2005,561.2305,561,46563
resource_177,Cloud Scheduler,226,Requests,asia-south1,1.88,97.2,5.80866E+11,5.8102E+11,2022-01-01 06:00:00,2022-01-16 13:00:00,2.8684,648.2584,648,53784
resource_767,Cloud Storage,82.0917,GB,us-central1,27.58,91,8.83755E+11,8.84043E+11,2022-01-01 06:00:00,2022-01-02 12:00:00,2.2267,182.7935884,183,15189
resource_106,Cloud Storage,40.4737,GB,asia-east1,86.59,23.77,1.42927E+11,1.43273E+11,2022-01-01 06:00:00,2022-01-09 20:00:00,1.4198,57.46455926,57,4731
resource_448,App Engine,21,Hours,europe-west1,44.75,59.55,30089418783,30839120275,2022-01-01 07:00:00,2022-01-02 04:00:00,0.619,12.999,13,1079
resource_105,Cloud CDN,232,Requests,europe-west1,61.66,81.8,1.8727E+11,1.8747E+11,2022-01-01 07:00:00,2022-01-03 09:00:00,7.1639,1662.0248,1662,137946
resource_681,Cloud Pub/Sub,538,Requests,us-west1,21.92,51.88,7.92532E+11,7.92557E+11,2022-01-01 07:00:00,2022-01-10 05:00:00,5.5222,2970.9436,2971,246593
resource_586,Cloud Run,842,Requests,asia-east1,5.94,82.67,3.69098E+11,3.69152E+11,2022-01-01 07:00:00,2022-01-01 23:00:00,6.028,5075.576,5076,421308
resource_352,Cloud Pub/Sub,226,Requests,us-east1,32.75,89.62,7.26787E+11,7.27142E+11,2022-01-01 07:00:00,2022-01-02 06:00:00,5.933,1340.858,1341,111303
resource_417,Cloud Logging,43.1525,GB,us-east1,85.05,65.91,1.54194E+11,1.54534E+11,2022-01-01 07:00:00,2022-01-01 18:00:00,7.8325,337.9919563,338,28054
resource_469,Artifact Registry,74.2431,GB,us-central1,78.55,14.93,8.62472E+11,8.63146E+11,2022-01-01 07:00:00,2022-01-02 00:00:00,7.3433,545.1893562,545,45235
resource_607,Cloud Scheduler,855,Requests,us-central1,64.67,85.16,8.42691E+11,8.42999E+11,2022-01-01 07:00:00,2022-01-05 17:00:00,2.8061,2399.2155,2399,199117
resource_164,Artifact Registry,57.4523,GB,us-east1,3.51,57.06,5.57504E+11,5.57784E+11,2022-01-01 08:00:00,2022-01-18 02:00:00,4.9727,285.6930522,286,23738
resource_502,Dialogflow,444,Requests,asia-east1,80.93,52.82,5.39184E+11,5.39525E+11,2022-01-01 08:00:00,2022-01-05 02:00:00,9.0802,4031.6088,4032,334656
resource_368,Cloud Dataproc,68,Hours,us-west1,82.42,46.29,1.12772E+11,1.13076E+11,2022-01-01 08:00:00,2022-01-04 04:00:00,6.0462,411.1416,411,34113
resource_118,Cloud Run,458,Requests,us-east1,80.22,76.75,2.37664E+11,2.38585E+11,2022-01-01 09:00:00,2022-01-07 04:00:00,2.4331,1114.3598,1114,92462
resource_50,Cloud Dataproc,180,Hours,asia-south1,24.37,51.81,7.81217E+11,7.81631E+11,2022-01-01 09:00:00,2022-01-08 21:00:00,4.6465,836.37,836,69388
resource_693,Cloud Memorystore,79.9273,GB,europe-west1,96.06,7.98,2.76364E+11,2.76759E+11,2022-01-01 09:00:00,2022-01-09 15:00:00,1.2917,103.2420934,103,8549
resource_499,Cloud Logging,56.729,GB,europe-west1,32.01,95.41,5.33893E+11,5.34507E+11,2022-01-01 10:00:00,2022-01-04 03:00:00,8.717,494.506693,495,41085
resource_279,Cloud Monitoring,85.9422,GB,us-east1,10.89,30.07,4.96331E+11,4.97329E+11,2022-01-01 10:00:00,2022-01-06 14:00:00,9.8918,850.123054,850,70550
resource_351,Cloud Functions,333,Requests,europe-west1,30.48,13.79,9.09665E+11,9.10516E+11,2022-01-01 10:00:00,2022-01-02 12:00:00,3.1062,1034.3646,1034,85822
resource_942,Secret Manager,507,Requests,asia-south1,19.96,8.33,7.07144E+11,7.07438E+11,2022-01-01 10:00:00,2022-01-07 16:00:00,2.9408,1490.9856,1491,123753
resource_528,Compute Engine,141,Hours,asia-east1,9.39,24.88,4.61731E+11,4.62302E+11,2022-01-01 10:00:00,2022-01-07 07:00:00,7.8296,1103.9736,1104,91632
resource_420,Cloud Functions,483,Requests,asia-east1,11.21,13.73,6.89047E+11,6.89925E+11,2022-01-01 10:00:00,2022-01-03 02:00:00,3.7889,1830.0387,1830,151890
resource_774,Cloud Spanner,12,Hours,us-central1,23.8,39.14,2.15398E+11,2.15778E+11,2022-01-01 10:00:00,2022-01-01 22:00:00,5.0121,60.1452,60,4980
resource_55,Cloud Pub/Sub,705,Requests,us-central1,9.63,8.89,9.11262E+11,9.11814E+11,2022-01-01 10:00:00,2022-01-08 10:00:00,7.8772,5553.426,5553,460899
resource_962,Cloud Memorystore,24.271,GB,europe-west1,46.08,41.94,3.1435E+11,3.14447E+11,2022-01-01 11:00:00,2022-01-04 13:00:00,2.6433,64.1555343,64,5312
resource_918,Cloud Filestore,38.4214,GB,asia-south1,20.18,43.42,1.49333E+11,1.49412E+11,2022-01-01 11:00:00,2022-01-08 10:00:00,3.3682,129.4109595,129,10707
resource_24,Cloud Storage,70.2486,GB,us-east1,99.17,90.63,8.1341E+11,8.13442E+11,2022-01-01 11:00:00,2022-01-03 00:00:00,2.5697,180.5178274,181,15023
resource_726,Cloud Tasks,908,Requests,us-central1,10.11,12.9,3.3512E+11,3.35634E+11,2022-01-01 11:00:00,2022-01-05 18:00:00,4.347,3947.076,3947,327601
resource_313,Dialogflow,345,Requests,us-east1,60.71,64.22,56362370565,56408191719,2022-01-01 11:00:00,2022-01-08 00:00:00,0.722,249.09,249,20667
resource_416,Secret Manager,456,Requests,us-west1,54.79,62.51,3.73134E+11,3.73197E+11,2022-01-01 11:00:00,2022-01-01 16:00:00,8.5609,3903.7704,3904,324032
resource_965,Cloud Run,953,Requests,asia-east1,77.75,65.1,5.35289E+11,5.35509E+11,2022-01-01 11:00:00,2022-01-04 05:00:00,4.0672,3876.0416,3876,321708
resource_523,Cloud Scheduler,297,Requests,asia-south1,51.51,37.06,7.1562E+11,7.15937E+11,2022-01-01 11:00:00,2022-01-01 16:00:00,9.8409,2922.7473,2923,242609
resource_187,Cloud CDN,653,Requests,asia-east1,18.13,95.64,1.01202E+11,1.0139E+11,2022-01-01 11:00:00,2022-02-14 21:00:00,7.0763,4620.8239,4621,383543
resource_870,Secret Manager,413,Requests,us-central1,13.72,57.22,3.28011E+11,3.28736E+11,2022-01-01 11:00:00,2022-01-07 14:00:00,8.288,3422.944,3423,284109
resource_961,Cloud Storage,92.1966,GB,asia-east1,79.38,65.79,4.92013E+11,4.92685E+11,2022-01-01 11:00:00,2022-01-07 09:00:00,3.4088,314.2797701,314,26062
resource_898,Cloud Dataflow,106,Hours,europe-west1,15.2,0.26,5.38623E+11,5.39369E+11,2022-01-01 11:00:00,2022-01-05 21:00:00,0.6745,71.497,71,5893
resource_8,Cloud Monitoring,77.2892,GB,europe-west1,89.15,16.6,1.48649E+11,1.49635E+11,2022-01-01 12:00:00,2022-01-02 08:00:00,4.8076,371.5755579,372,30876
resource_916,Cloud Tasks,371,Requests,asia-east1,16.49,42.41,26096004606,26692084265,2022-01-01 12:00:00,2022-01-07 00:00:00,0.6529,242.2259,242,20086
resource_761,Cloud Filestore,53.9327,GB,us-central1,75.13,2.6,6.99495E+11,6.99806E+11,2022-01-01 12:00:00,2022-01-03 18:00:00,9.0859,490.0271189,490,40670
resource_988,Cloud Monitoring,11.5455,GB,europe-west1,89.84,96.61,9.26306E+11,9.26896E+11,2022-01-01 12:00:00,2022-01-07 22:00:00,4.8919,56.47943145,56,4648
resource_13,Artifact Registry,71.2877,GB,us-central1,6.63,87.08,3.47363E+11,3.48051E+11,2022-01-01 12:00:00,2022-01-12 07:00:00,9.9338,708.1577543,708,58764
resource_349,Cloud Filestore,83.073,GB,asia-south1,57.47,43.55,4.84114E+11,4.84149E+11,2022-01-01 12:00:00,2022-01-02 19:00:00,5.8424,485.3456952,485,40255
resource_846,BigQuery,62,Requests,asia-east1,35.77,6.88,4.93356E+11,4.93423E+11,2022-01-01 12:00:00,2022-01-04 09:00:00,9.9933,619.5846,620,51460
resource_172,Cloud Dataflow,7,Hours,us-central1,31.69,51.76,9.74187E+11,9.74849E+11,2022-01-01 13:00:00,2022-01-01 20:00:00,1.3646,9.5522,10,830
resource_948,Cloud CDN,87,Requests,europe-west1,82.79,81.25,9.43356E+11,9.43417E+11,2022-01-01 13:00:00,2022-01-03 13:00:00,3.5965,312.8955,313,25979
resource_998,Cloud CDN,521,Requests,us-central1,46.03,47.99,6.42504E+11,6.43396E+11,2022-01-01 13:00:00,2022-01-04 01:00:00,0.812,423.052,423,35109
resource_999,Cloud Dataflow,6,Hours,us-east1,4.61,3.65,2.74915E+11,2.75085E+11,2022-01-01 13:00:00,2022-01-01 19:00:00,0.4076,2.4456,2,166
resource_791,Cloud Pub/Sub,291,Requests,asia-south1,5.81,61.49,6.11915E+11,6.12762E+11,2022-01-01 13:00:00,2022-01-10 10:00:00,5.9626,1735.1166,1735,144005
resource_584,Cloud Filestore,79.4623,GB,asia-south1,3.71,27.22,3.21114E+11,3.21273E+11,2022-01-01 13:00:00,2022-01-20 21:00:00,6.1361,487.588619,488,40504
resource_889,App Engine,60,Hours,us-central1,99.8,96.05,8.18977E+11,8.19437E+11,2022-01-01 14:00:00,2022-01-04 02:00:00,3.777,226.62,227,18841
resource_922,Cloud Dataflow,550,Hours,us-central1,22.06,91.37,8.76375E+11,8.77299E+11,2022-01-01 14:00:00,2022-01-24 12:00:00,9.5549,5255.195,5255,436165
resource_364,Cloud Pub/Sub,108,Requests,asia-south1,60.15,46.47,4.00083E+11,4.0093E+11,2022-01-01 14:00:00,2022-01-07 22:00:00,4.0964,442.4112,442,36686
resource_255,Cloud Storage,57.2863,GB,us-east1,82.96,6.99,5.21351E+11,5.21989E+11,2022-01-01 14:00:00,2022-01-06 19:00:00,8.1619,467.565052,468,38844
resource_457,Cloud Tasks,522,Requests,europe-west1,11.91,79.83,6.07724E+11,6.08683E+11,2022-01-01 14:00:00,2022-01-04 20:00:00,9.7487,5088.8214,5089,422387
resource_895,Cloud Dataflow,49,Hours,us-west1,24.91,0.24,5.06287E+11,5.06509E+11,2022-01-01 14:00:00,2022-01-03 15:00:00,3.7693,184.6957,185,15355
resource_57,Cloud Build,803,Requests,us-east1,55.34,56.48,8.11825E+11,8.1207E+11,2022-01-01 14:00:00,2022-01-03 21:00:00,5.2161,4188.5283,4189,347687
resource_109,Cloud SQL,109,Hours,us-east1,21.55,82.95,3.64849E+11,3.65553E+11,2022-01-01 14:00:00,2022-01-06 03:00:00,4.657,507.613,508,42164
resource_112,Cloud Tasks,696,Requests,europe-west1,37.09,75.8,1.58842E+11,1.59019E+11,2022-01-01 14:00:00,2022-01-12 23:00:00,7.8798,5484.3408,5484,455172
resource_479,Cloud SQL,354,Hours,asia-east1,45.71,36.32,21827099132,22653676147,2022-01-01 15:00:00,2022-01-16 09:00:00,0.9591,339.5214,340,28220
resource_425,Cloud Armor,636,Requests,us-east1,91.7,39.68,76289316016,76722289540,2022-01-01 15:00:00,2022-01-07 16:00:00,0.1198,76.1928,76,6308
resource_18,Cloud Dataflow,21,Hours,asia-south1,43.04,36.09,2.72864E+11,2.73279E+11,2022-01-01 15:00:00,2022-01-02 12:00:00,2.5409,53.3589,53,4399
resource_71,Cloud Logging,27.2386,GB,us-east1,2.26,80.9,5.66877E+11,5.67423E+11,2022-01-01 15:00:00,2022-01-03 20:00:00,8.8065,239.8767309,240,19920
resource_416,Secret Manager,474,Requests,us-west1,70.16,66.44,7.37778E+11,7.3795E+11,2022-01-01 16:00:00,2022-01-05 23:00:00,9.5048,4505.2752,4505,373915
resource_809,Cloud Dataflow,3,Hours,us-central1,39.38,26.65,6.80204E+11,6.80593E+11,2022-01-01 16:00:00,2022-01-01 19:00:00,2.4193,7.2579,7,581
resource_599,Cloud Armor,611,Requests,us-east1,25.64,11.63,4.03324E+11,4.03534E+11,2022-01-01 16:00:00,2022-01-02 16:00:00,9.4394,5767.4734,5767,478661
resource_548,Cloud Dataflow,126,Hours,us-central1,41.45,25.5,1.85221E+11,1.8527E+11,2022-01-01 16:00:00,2022-01-06 22:00:00,8.3389,1050.7014,1051,87233
resource_277,Cloud Logging,53.7242,GB,asia-south1,10.46,91.06,6.03149E+11,6.0414E+11,2022-01-01 16:00:00,2022-01-17 05:00:00,3.8473,206.6931147,207,17181
resource_437,Cloud Logging,99.8314,GB,asia-east1,21.18,51.17,3.27463E+11,3.28002E+11,2022-01-01 16:00:00,2022-01-07 01:00:00,4.7436,473.560229,474,39342
resource_83,BigQuery,32,Requests,us-west1,17.55,7.09,7.67016E+11,7.68008E+11,2022-01-01 16:00:00,2022-01-13 10:00:00,9.7185,310.992,311,25813
resource_931,Cloud SQL,6,Hours,asia-south1,63.36,9.91,74578261958,74687740933,2022-01-01 16:00:00,2022-01-01 22:00:00,0.3264,1.9584,2,166
resource_486,Compute Engine,73,Hours,us-east1,49.48,23.86,4.05932E+11,4.06767E+11,2022-01-01 16:00:00,2022-01-04 17:00:00,9.1345,666.8185,667,55361
resource_523,Cloud Scheduler,894,Requests,asia-south1,96.01,84.27,5.35613E+11,5.36599E+11,2022-01-01 16:00:00,2022-01-07 12:00:00,2.3115,2066.481,2066,171478
resource_753,Cloud Dataflow,17,Hours,asia-east1,59.53,40.38,2.35167E+11,2.35825E+11,2022-01-01 16:00:00,2022-01-02 09:00:00,0.1561,2.6537,3,249
resource_115,Cloud Build,932,Requests,europe-west1,71.86,46.57,4.06317E+11,4.06614E+11,2022-01-01 16:00:00,2022-01-02 12:00:00,3.5124,3273.5568,3274,271742
resource_640,Secret Manager,117,Requests,us-west1,45.43,89.9,3.96356E+11,3.964E+11,2022-01-01 17:00:00,2022-01-25 09:00:00,6.0318,705.7206,706,58598
resource_145,Dialogflow,410,Requests,asia-south1,98.91,8.74,7.55677E+11,7.56601E+11,2022-01-01 17:00:00,2022-01-05 13:00:00,0.1024,41.984,42,3486
resource_492,Cloud Logging,18.3825,GB,us-central1,33.04,21.91,8.68189E+11,8.69085E+11,2022-01-01 17:00:00,2022-01-03 14:00:00,9.0632,166.604274,167,13861
resource_371,Cloud Scheduler,829,Requests,asia-south1,19.88,22.34,24610227652,24620777180,2022-01-01 17:00:00,2022-01-10 20:00:00,6.8585,5685.6965,5686,471938
resource_236,Cloud Dataproc,391,Hours,us-west1,30.56,57.45,7.28848E+11,7.2964E+11,2022-01-01 17:00:00,2022-01-18 00:00:00,9.5964,3752.1924,3752,311416
resource_354,Artifact Registry,30.7881,GB,us-east1,18.24,65.09,1.21751E+11,1.22188E+11,2022-01-01 17:00:00,2022-01-03 11:00:00,2.5361,78.08170041,78,6474
resource_955,Artifact Registry,70.7132,GB,asia-east1,2.75,40.85,7.18694E+11,7.19401E+11,2022-01-01 17:00:00,2022-01-06 02:00:00,1.496,105.7869472,106,8798
resource_331,Cloud Functions,580,Requests,europe-west1,50.75,33.09,4.92868E+11,4.93338E+11,2022-01-01 17:00:00,2022-01-01 23:00:00,6.0722,3521.876,3522,292326
resource_731,Secret Manager,147,Requests,us-central1,5.59,8.09,9.86429E+11,9.86547E+11,2022-01-01 17:00:00,2022-01-05 12:00:00,7.9026,1161.6822,1162,96446
resource_417,Cloud Logging,92.0797,GB,us-east1,98.13,54.53,1.44979E+11,1.4511E+11,2022-01-01 18:00:00,2022-01-03 08:00:00,7.8313,721.1037546,721,59843
resource_848,Cloud SQL,81,Hours,us-central1,59.6,40.41,6.24704E+11,6.24755E+11,2022-01-01 18:00:00,2022-01-05 03:00:00,7.1825,581.7825,582,48306
resource_709,Secret Manager,432,Requests,us-west1,94.05,27.81,2.16078E+11,2.16693E+11,2022-01-01 18:00:00,2022-01-05 07:00:00,3.7319,1612.1808,1612,133796
resource_426,Cloud Monitoring,93.3548,GB,asia-east1,11.9,0.15,2.15236E+11,2.15866E+11,2022-01-01 18:00:00,2022-01-05 09:00:00,5.9259,553.2112093,553,45899
resource_999,Cloud Dataflow,4,Hours,us-east1,25.17,1.66,2.82735E+11,2.83502E+11,2022-01-01 19:00:00,2022-01-01 23:00:00,5.382,21.528,22,1826
resource_809,Cloud Dataflow,86,Hours,us-central1,43.94,39.16,48667212355,48722959991,2022-01-01 19:00:00,2022-01-05 09:00:00,1.031,88.666,89,7387
resource_87,Cloud Memorystore,97.6367,GB,us-east1,11.52,81.24,1.29197E+11,1.30054E+11,2022-01-01 19:00:00,2022-01-02 13:00:00,3.5944,350.9453545,351,29133
resource_749,Cloud Dataproc,180,Hours,asia-south1,67.17,69.02,9.23157E+11,9.23466E+11,2022-01-01 19:00:00,2022-01-09 07:00:00,8.6824,1562.832,1563,129729
resource_262,Cloud Logging,93.6896,GB,us-west1,17.94,48.85,6.66711E+11,6.67236E+11,2022-01-01 19:00:00,2022-01-08 03:00:00,8.8868,832.6007373,833,69139
resource_936,Cloud Spanner,142,Hours,asia-south1,58.06,36.82,1.72685E+11,1.73265E+11,2022-01-01 19:00:00,2022-01-07 17:00:00,8.2064,1165.3088,1165,96695
resource_519,Cloud Scheduler,525,Requests,asia-east1,22.46,51.2,6.64427E+11,6.64692E+11,2022-01-01 19:00:00,2022-01-10 09:00:00,5.8773,3085.5825,3086,256138
resource_541,Cloud Logging,12.1216,GB,us-central1,95.56,22.65,6.35626E+11,6.35886E+11,2022-01-01 19:00:00,2022-01-05 05:00:00,7.7931,94.46484096,94,7802
resource_789,App Engine,232,Hours,us-east1,64.57,3.85,3.20973E+11,3.21305E+11,2022-01-01 19:00:00,2022-01-11 11:00:00,6.2447,1448.7704,1449,120267
resource_301,BigQuery,150,Requests,asia-east1,79.93,52.34,6.1241E+11,6.12776E+11,2022-01-01 20:00:00,2022-01-13 14:00:00,3.461,519.15,519,43077
resource_592,Cloud Spanner,291,Hours,us-central1,88.46,67.45,5.62819E+11,5.63102E+11,2022-01-01 20:00:00,2022-01-13 23:00:00,3.9029,1135.7439,1136,94288
resource_172,Cloud Dataflow,167,Hours,us-central1,66.14,12.19,9.20783E+11,9.20956E+11,2022-01-01 20:00:00,2022-01-08 19:00:00,5.0478,842.9826,843,69969
